CNT	Subject	Number of possession	Minimum	First quantile	Median	Third quantile	Maximum
Albania	Maths	None	71.1248	332.0689	391.346	447.819	687.9654
Albania	Maths	One	78.6026	338.26145	396.7986	454.8294	666.2331
Albania	Maths	Two	75.7984	338.6898	397.1491	456.718375	655.1721
Albania	Maths	Three or more	142.3976	342.993425	398.668	467.389775	656.1848
Albania	Reading	None	1.672	318.5945	393.9023	472.3274	742.0485
Albania	Reading	One	0.0834	325.6917	408.1718	474.9738	718.4443
Albania	Reading	Two	0.0834	333.149825	401.4029	468.587375	678.2669
Albania	Reading	Three or more	2.5457	335.7811	408.4203	473.9714	692.7218
Albania	Science	None	56.9191	333.868	399.2354	461.4323	720.5707
Albania	Science	One	39.668	339.3696	402.4058	461.9918	675.5315
Albania	Science	Two	59.4368	342.120475	401.4267	463.3672	721.4099
Albania	Science	Three or more	90.0224	344.848025	404.22415	474.160775	654.364
United Arab Emirates	Maths	None	138.1913	341.4161	394.4618	456.9325	688.0433
United Arab Emirates	Maths	One	160.3131	379.6619	440.65275	499.481975	735.0132
United Arab Emirates	Maths	Two	185.5507	382.89455	448.8316	513.60025	724.2639
United Arab Emirates	Maths	Three or more	169.6604	367.5105	423.9056	486.2985	861.6685
United Arab Emirates	Reading	None	153.9412	347.2763	414.7927	476.7489	652.9269
United Arab Emirates	Reading	One	122.0378	381.80785	451.331	515.103875	712.2694
United Arab Emirates	Reading	Two	113.8579	394.1009	460.9024	523.772	745.3846
United Arab Emirates	Reading	Three or more	121.5566	369.0369	437.3511	502.801975	785.086
United Arab Emirates	Science	None	157.9075	355.0354	417.5121	481.8538	684.9496
United Arab Emirates	Science	One	104.1962	387.88235	455.7441	518.85025	750.0373
United Arab Emirates	Science	Two	176.2775	397.207175	465.1623	534.0032	764.6774
United Arab Emirates	Science	Three or more	115.9455	376.552625	441.3838	504.210175	813.8195
Argentina	Maths	None	96.0508	332.7699	381.5314	439.4843	640.4502
Argentina	Maths	One	59.2849	339.0793	390.645	441.334325	636.244
Argentina	Maths	Two	185.6286	364.04425	418.9204	476.1723	669.193
Argentina	Maths	Three or more	193.4959	371.7947	435.5897	490.8942	618.64
Argentina	Reading	None	61.8919	326.5338	393.5764	455.4865	674.4176
Argentina	Reading	One	20.7521	334.3928	403.83625	466.0722	734.9791
Argentina	Reading	Two	119.4682	364.75945	431.5305	495.8123	688.7502
Argentina	Reading	Three or more	101.0402	378.57215	446.4857	508.43145	708.0993
Argentina	Science	None	126.4827	340.6751	402.8721	456.6766	655.0168
Argentina	Science	One	6.8445	351.3055	408.8866	464.1365	688.6796
Argentina	Science	Two	138.6982	379.0936	440.31145	494.768725	695.0205
Argentina	Science	Three or more	154.8303	398.3495	453.8791	509.9683	716.8407
Australia	Maths	None	127.5978	376.3904	429.5139	494.74995	798.263
Australia	Maths	One	59.6744	413.097875	476.4839	541.7588	827.551
Australia	Maths	Two	109.4485	444.3138	508.5761	573.169475	848.9718
Australia	Maths	Three or more	160.0016	447.39055	518.2349	586.7814	825.8374
Australia	Reading	None	80.9782	386.88015	448.948	510.3482	753.8837
Australia	Reading	One	3.9113	424.2107	491.7216	558.9375	795.0289
Australia	Reading	Two	22.356	457.1294	520.4441	582.0443	818.3022
